Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1947,"¡A Volar, Joven!",13.703,83,popular,Comedy
1997,The Swan Princess: Escape from Castle Mountain,13.703,245,below_avg,Family
1997,The Swan Princess: Escape from Castle Mountain,13.703,245,below_avg,Fantasy
1997,The Swan Princess: Escape from Castle Mountain,13.703,245,below_avg,Animation
1997,The Swan Princess: Escape from Castle Mountain,13.703,245,below_avg,Romance
2005,Love Wrecked,13.696,407,not_popular,Family
2005,Love Wrecked,13.696,407,not_popular,Romance
1942,Reap the Wild Wind,13.694,37,average,Adventure
1942,Reap the Wild Wind,13.694,37,average,Drama
1942,Reap the Wild Wind,13.694,37,average,Romance
1982,Firefox,13.693,383,below_avg,Science Fiction
1982,Firefox,13.693,383,below_avg,Action
1982,Firefox,13.693,383,below_avg,Adventure
1982,Firefox,13.693,383,below_avg,Thriller
2000,Tigerland,13.691,432,average,Drama
2000,Tigerland,13.691,432,average,War
1995,Dead Man Walking,13.691,1041,popular,Drama
1941,Suspicion,13.69,553,average,Mystery
1941,Suspicion,13.69,553,average,Romance
1941,Suspicion,13.69,553,average,Thriller
2006,Hollow Man II,13.689,185,not_popular,Horror
2006,Hollow Man II,13.689,185,not_popular,Action
2006,Hollow Man II,13.689,185,not_popular,Thriller
2006,Hollow Man II,13.689,185,not_popular,Science Fiction
1993,Little Buddha,13.689,314,below_avg,Drama
1993,Little Buddha,13.689,314,below_avg,History
1997,Mr. Magoo,13.688,292,not_popular,Comedy
1997,Mr. Magoo,13.688,292,not_popular,Family
2011,Assassination Games,13.687,295,below_avg,Action
1986,Troll,13.686,144,not_popular,Fantasy
1986,Troll,13.686,144,not_popular,Horror
2015,Sex Story: Fifty Shades of Grey,13.684,9,not_popular,Documentary
1987,3 Men and a Baby,13.684,779,below_avg,Family
1987,3 Men and a Baby,13.684,779,below_avg,Comedy
1958,The Fly,13.682,378,average,Drama
1958,The Fly,13.682,378,average,Horror
1958,The Fly,13.682,378,average,Science Fiction
2014,Brotherhood of Blades,13.681,101,average,Romance
2014,Brotherhood of Blades,13.681,101,average,Action
2014,Brotherhood of Blades,13.681,101,average,Drama
